Role,First,Given,Affiliation
General Conference Chair,Kazuo,Misue,University of Tsukuba
Organizing Chair,Naohisa,Sakamoto,Kobe University
Registration Chair,Yuki,Igarashi,Meiji University
Local Arrangements Co-chairs,Ikkaku,Kawaguchi,University of Tsukuba
Local Arrangements Co-chairs,Takao,Ito,SoftEther Corporation
Online Systems Co-chairs,Masahiko,Itoh,Hokkaido Information University
Online Systems Co-chairs,Yu,Suzuki,Miyagi University
Financial Chair,Yuriko,Takeshima,Tokyo University of Technology
Publication Chair,Hiroaki,Natsukawa,Kyoto University
Publicity Co-chairs,Ken,Wakita,Tokyo Institute of Technology
Publicity Co-chairs,Hsiang-Yun,Wu,TU Wien
Advisors,Koji,Koyamada,Kyoto University
Advisors,Issei,Fujishiro,Keio University
Advisors,Takayuki,Itoh,Ochanomizu University